Description	Iteration	Fold	Algorithm	Metric	Value
NoSignal_Both	1	1	Ensemble_Select_Best	Accuracy	0.577777777777778
NoSignal_Both	1	1	Ensemble_Select_Best	AUROC	0.444119455423803
NoSignal_Both	1	1	Ensemble_Select_Best	BalancedAccuracy	0.439168862538428
NoSignal_Both	1	1	Ensemble_Select_Best	Brier	0.234667116557607
NoSignal_Both	1	1	Ensemble_Select_Best	F1	NA
NoSignal_Both	1	1	Ensemble_Select_Best	FDR	0.777777777777778
NoSignal_Both	1	1	Ensemble_Select_Best	FNR	0.736111111111111
NoSignal_Both	1	1	Ensemble_Select_Best	FPR	0.385551163812033
NoSignal_Both	1	1	Ensemble_Select_Best	MCC	-0.165186033129319
NoSignal_Both	1	1	Ensemble_Select_Best	MMCE	0.422222222222222
NoSignal_Both	1	1	Ensemble_Select_Best	NPV	0.549145299145299
NoSignal_Both	1	1	Ensemble_Select_Best	PPV	0.222222222222222
NoSignal_Both	1	1	Ensemble_Select_Best	Precision	0.222222222222222
NoSignal_Both	1	1	Ensemble_Select_Best	Recall	0.263888888888889
NoSignal_Both	1	1	Ensemble_Select_Best	TNR	0.614448836187967
NoSignal_Both	1	1	Ensemble_Select_Best	TPR	0.263888888888889
NoSignal_Both	1	2	Ensemble_Select_Best	Accuracy	0.622222222222222
NoSignal_Both	1	2	Ensemble_Select_Best	AUROC	0.468036420101637
NoSignal_Both	1	2	Ensemble_Select_Best	BalancedAccuracy	0.476542599912165
NoSignal_Both	1	2	Ensemble_Select_Best	Brier	0.224482918077323
NoSignal_Both	1	2	Ensemble_Select_Best	F1	NA
NoSignal_Both	1	2	Ensemble_Select_Best	FDR	0.67948717948718
NoSignal_Both	1	2	Ensemble_Select_Best	FNR	0.691666666666667
NoSignal_Both	1	2	Ensemble_Select_Best	FPR	0.355248133509003
NoSignal_Both	1	2	Ensemble_Select_Best	MCC	-0.0675130241962132
NoSignal_Both	1	2	Ensemble_Select_Best	MMCE	0.377777777777778
NoSignal_Both	1	2	Ensemble_Select_Best	NPV	0.583333333333333
NoSignal_Both	1	2	Ensemble_Select_Best	PPV	0.320512820512821
NoSignal_Both	1	2	Ensemble_Select_Best	Precision	0.320512820512821
NoSignal_Both	1	2	Ensemble_Select_Best	Recall	0.308333333333333
NoSignal_Both	1	2	Ensemble_Select_Best	TNR	0.644751866490997
NoSignal_Both	1	2	Ensemble_Select_Best	TPR	0.308333333333333
NoSignal_Both	2	1	Ensemble_Select_Best	Accuracy	0.644444444444444
NoSignal_Both	2	1	Ensemble_Select_Best	AUROC	0.513712278060104
NoSignal_Both	2	1	Ensemble_Select_Best	BalancedAccuracy	0.55519558943472
NoSignal_Both	2	1	Ensemble_Select_Best	Brier	0.226083292819482
NoSignal_Both	2	1	Ensemble_Select_Best	F1	0.396159396159396
NoSignal_Both	2	1	Ensemble_Select_Best	FDR	0.605291005291005
NoSignal_Both	2	1	Ensemble_Select_Best	FNR	0.593253968253968
NoSignal_Both	2	1	Ensemble_Select_Best	FPR	0.296354852876592
NoSignal_Both	2	1	Ensemble_Select_Best	MCC	0.107773720778266
NoSignal_Both	2	1	Ensemble_Select_Best	MMCE	0.355555555555556
NoSignal_Both	2	1	Ensemble_Select_Best	NPV	0.709806763285024
NoSignal_Both	2	1	Ensemble_Select_Best	PPV	0.394708994708995
NoSignal_Both	2	1	Ensemble_Select_Best	Precision	0.394708994708995
NoSignal_Both	2	1	Ensemble_Select_Best	Recall	0.406746031746032
NoSignal_Both	2	1	Ensemble_Select_Best	TNR	0.703645147123408
NoSignal_Both	2	1	Ensemble_Select_Best	TPR	0.406746031746032
NoSignal_Both	2	2	Ensemble_Select_Best	Accuracy	0.688888888888889
NoSignal_Both	2	2	Ensemble_Select_Best	AUROC	0.590862454775498
NoSignal_Both	2	2	Ensemble_Select_Best	BalancedAccuracy	0.568276711211494
NoSignal_Both	2	2	Ensemble_Select_Best	Brier	0.239360698532466
NoSignal_Both	2	2	Ensemble_Select_Best	F1	0.416161616161616
NoSignal_Both	2	2	Ensemble_Select_Best	FDR	0.486111111111111
NoSignal_Both	2	2	Ensemble_Select_Best	FNR	0.574206349206349
NoSignal_Both	2	2	Ensemble_Select_Best	FPR	0.289240228370663
NoSignal_Both	2	2	Ensemble_Select_Best	MCC	0.186144355599968
NoSignal_Both	2	2	Ensemble_Select_Best	MMCE	0.311111111111111
NoSignal_Both	2	2	Ensemble_Select_Best	NPV	0.740740740740741
NoSignal_Both	2	2	Ensemble_Select_Best	PPV	0.513888888888889
NoSignal_Both	2	2	Ensemble_Select_Best	Precision	0.513888888888889
NoSignal_Both	2	2	Ensemble_Select_Best	Recall	0.425793650793651
NoSignal_Both	2	2	Ensemble_Select_Best	TNR	0.710759771629337
NoSignal_Both	2	2	Ensemble_Select_Best	TPR	0.425793650793651
